ID,Shelfmark,Title,Source_link,RISM_link,VD_16
Jud_1523-2,A-Wn MS47356-8°,Ain schone kunstliche underweisung,http://data.onb.ac.at/rec/AC09185338,https://opac.rism.info/rism/Record/rism990032736,https://gateway-bayern.de/VD16+J+1030
Lf_Q-5534,D-B Yd9496,Leaflet Q-5534 Yd9496,http://resolver.staatsbibliothek-berlin.de/SBB0000E5A900000000,,https://gateway-bayern.de/VD16+ZV+15589
Lf_Q-5535,D-B Yd9503,Leaflet Q-5535 Yd9503,http://resolver.staatsbibliothek-berlin.de/SBB0000E5AA00000000,,https://gateway-bayern.de/VD16+ZV+15590
New_1536-6,D-HAu Pon IIe 290 (2),Ein neugeordnetes künstliches Lautenbuch. Part I,http://dx.doi.org/10.25673/opendata2-3222,https://opac.rism.info/rism/Record/rism993104150,https://gateway-bayern.de/VD16+ZV+11665
New_1536-7,D-HAu Pon IIe 290 (2),Ein neugeordnetes künstliches Lautenbuch. Part II,urn:nbn:de:gbv:3:1-336930-p0001-4,https://opac.rism.info/rism/Record/rism993104151,https://gateway-bayern.de/VD16+ZV+11665
New_1540-1,D-HAu Pon IIe 290 (1),Ein neues Lautenbüchlein,urn:nbn:de:gbv:3:1-336360,https://rism.online/sources/993104283,ttps://gateway-bayern.de/VD16+ZV+22820
Oeg_1512_A,D-Mbs Rar. 27,[Erstes Liederbuch des Erhart Öglin] Altus,https://www.digitale-sammlungen.de/view/bsb00082229?page=%2C1,https://opac.rism.info/search?id=993103852&View=rism,https://gateway-bayern.de/VD16+G+1651
Oeg_1512_B,D-Mbs Rar. 27,[Erstes Liederbuch des Erhart Öglin] Bassus,https://www.digitale-sammlungen.de/view/bsb00082229?page=%2C1,https://opac.rism.info/search?id=993103852&View=rism,https://gateway-bayern.de/VD16+G+165
Oeg_1512_D,D-Mbs Rar. 27,"Öglin 1512, Oeg I, Erhart Öglins erstesLiederbuch",https://www.digitale-sammlungen.de/view/bsb00082229?page=%2C1,https://opac.rism.info/search?id=993103852&View=rism,https://gateway-bayern.de/VD16+G+1651
Oeg_1512_T,D-Mbs Rar. 27,"Öglin 1512, Oeg I, Öglins erstes Liederbuch",https://www.digitale-sammlungen.de/view/bsb00082229?page=%2C1,https://opac.rism.info/search?id=993103852&View=rism,https://gateway-bayern.de/VD16+G+1651
Oeg_1513_D,D-B Mus.ant.pract. O 65,Zweites Liederbuch des Erhart Öglin. Discantus,https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN796371709,https://opac.rism.info/rism/Record/rism993114941?sid=10169717,https://gateway-bayern.de/VD16+ZV+31477
Ott_1534_A,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I. Altus,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
Ott_1534_B,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I. Bassus,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
Ott_1534_D,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I. Discantus,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
Ott_1534_T,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
Ott_1534_V,D-Mbs Mus.pr. 35,Hundert und einundzwanzig neue Lieder. Teil I. Vagans,https://www.digitale-sammlungen.de/view/bsb00082621?page=1,https://opac.rism.info/rism/Record/rism993104106,https://gateway-bayern.de/VD16+ZV+26800
PL-Kj_Mus.ms._40154,PL-Kj Mus.ms. 40154,Hungersperger Tabulatur,,,
PL-WRk_352,PL-WRk 352,Tabulatur auf die Laute,,,
Sch_1512-1,D-LEm II. 6. 13 / D-Dl II. 6. 13,Tabulaturen etlicher Lobgesang und Lidlein,http://digital.slub-dresden.de/id456295895,https://opac.rism.info/rism/Record/rism225003434,
Schoe-Ap_1536_T,D-Mbs Mus.pr. 39#Beibd.2,"Schöffer-Apiarius, Tenorstimmbuch",https://www.digitale-sammlungen.de/de/details/bsb00081895,https://opac.rism.info/rism/Record/rism993104169?sid=33121509,https://gateway-bayern.de/VD16+F+3303
Schoe_1513_T,D-Mbs Rar. 567,[Erstes Liederbuch des Peter Schöffer] Tenor,https://mdz-nbn-resolving.de/bsb00074659,https://opac.rism.info/rism/Record/rism993103861,https://gateway-bayern.de/VD16+ZV+26523
Schoe_1517_A,D-Mbs Mus.pr. 316,Zweites Liederbuch des Peter Schöffer. Altus,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00081592,https://opac.rism.info/rism/Record/rism993114942,
Schoe_1517_B,D-Mbs Mus.pr. 316,Zweites Liederbuch des Peter Schöffer. Bassus,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00081592,https://opac.rism.info/rism/Record/rism993114942,
Schoe_1517_D,D-Mbs Mus.pr. 316,Zweites Liederbuch des Peter Schöffer. Discantus,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00081592,https://opac.rism.info/rism/Record/rism993114942,
Schoe_1517_T,D-Cl Rara/BIII 1/9(Beil 1),Zweites Liederbuch des Peter Schöffer. Tenor,https://nbn-resolving.org/urn:nbn:de:bvb:70-dtl-0000014089,https://opac.rism.info/rism/Record/rism993114942,
Vir_1511-3,D-Mbs 4 Mus.th. 1616,Musica getutscht,https://www.digitale-sammlungen.de/view/bsb00011703?page=1,,https://gateway-bayern.de/VD16+V+1329
Yale_tab,US-NHub Osborn Music MS 31,Yale Tablature,https://collections.library.yale.edu/catalog/17451985,,
